Team,Total_score
Manchester City,9.431755437678428
Paris S-G,8.376909639127414
Liverpool,6.995147871901856
Napoli,6.984080505374909
Bayern Munich,6.737875921215171
Hoffenheim,6.67165835486872
Atalanta,6.670359702791707
Barcelona,6.629921445745947
Arsenal,6.467474671028179
Milan,6.433915619790115
Nice,6.428448282651737
West Ham,6.327901355600308
Stuttgart,6.228701987103671
Celta Vigo,6.2263981063121845
Villarreal,6.156866986559493
Real Madrid,6.080284231420804
Aston Villa,6.045628944277036
Atlético Madrid,5.833083493549533
Lazio,5.764731153285611
Inter,5.7618228130134606
Newcastle Utd,5.746609897562375
Rennes,5.7255136524335635
Brentford,5.617815157385669
Brighton,5.591840096808944
Manchester Utd,5.5285400338354656
Athletic Club,5.516860524032913
Bologna,5.325876360302289
2 Teams,5.324184918608892
Augsburg,5.147980745048533
Fulham,5.070366747579505
Osasuna,5.02597400999449
Heidenheim,5.022356089097666
Real Sociedad,4.989376599487317
Freiburg,4.880943494698776
Tottenham,4.876308939993257
Lens,4.8535952738761425
Monza,4.830918362658595
RB Leipzig,4.824076352582375
Nott'ham Forest,4.8217258321659395
Rayo Vallecano,4.798515464632419
Dortmund,4.721957875114771
Sevilla,4.689132576441643
Girona,4.635707867873368
Betis,4.621442505695197
Getafe,4.58926716910411
Everton,4.55341063210246
Union Berlin,4.519351610921756
Leverkusen,4.486951542711259
Wolfsburg,4.440607267882644
Gladbach,4.440475836544873
Juventus,4.417964839171935
Werder Bremen,4.403390190232458
Bournemouth,4.388882796272424
Las Palmas,4.372492458126709
Marseille,4.309125618594862
Lyon,4.2830193065465165
Montpellier,4.253863017033756
Almería,4.252789681526292
Mainz 05,4.244374277142662
Reims,4.244093348542863
Luton Town,4.193791032577335
Monaco,4.154125499171915
Sassuolo,4.150356259008279
Brest,4.143826052123524
Fiorentina,4.098796514168904
Chelsea,4.077161191033692
Crystal Palace,4.064137304223239
Roma,4.04447476835114
Lille,3.9250373722776803
Metz,3.9014416390835005
Burnley,3.8533715124735375
Köln,3.8310898816476544
Toulouse,3.827212720736015
Valencia,3.7642087126206243
Strasbourg,3.71592682966862
Mallorca,3.6841884461290624
Clermont Foot,3.684093812870834
Wolves,3.6766307349968965
Lorient,3.606124685876059
Eint Frankfurt,3.5900925804936175
Salernitana,3.5639082280703716
Empoli,3.520701217926855
Bochum,3.466452416775749
Udinese,3.4267490706490964
Lecce,3.410953436353638
Torino,3.376206784293777
Genoa,3.3288917771940945
Cagliari,3.3274522552561714
Frosinone,3.122460733763283
Hellas Verona,3.0685442828692957
Darmstadt 98,3.058279384728433
Nantes,2.9675122319323375
Alavés,2.9221134133210054
Le Havre,2.8676298882942794
Granada,2.855868492871974
Cádiz,2.850130333393309
Sheffield Utd,1.778937222266119
