Team,Total_score
Leverkusen,10.949124611537217
Manchester City,9.885878452024773
Real Madrid,8.141654781836577
Bologna,7.555307999653304
Paris S-G,7.456659336081878
West Ham,7.076936615856911
RB Leipzig,7.064323226963407
Lille,6.98262214341557
Inter,6.932001019080781
Bayern Munich,6.883771541056964
Tottenham,6.87127925297731
Arsenal,6.787190823744008
Milan,6.776037024955084
Atlético Madrid,6.754365534534672
Stuttgart,6.636335701126195
Rennes,6.564914524118945
Girona,6.5257183733150725
Dortmund,6.522155482095246
Atalanta,6.504743757816279
Montpellier,6.495575801438981
Villarreal,6.483091191022244
2 Teams,6.295286118148282
Manchester Utd,6.210643915844579
Lyon,6.147208466389371
Brest,6.134258246797781
Aston Villa,6.1063993808439525
Reims,6.098205001750154
Real Sociedad,6.093292812260088
Monaco,6.052631804097442
Las Palmas,6.034592890151843
Gladbach,6.032287447623773
Everton,5.969428281483175
Roma,5.965333294255899
Lazio,5.85184813613268
Barcelona,5.78836287241423
Bochum,5.740450272500903
Newcastle Utd,5.685894554769288
Athletic Club,5.549197654115285
Betis,5.531663923596041
Hoffenheim,5.493921542575282
Werder Bremen,5.401592224536191
Wolfsburg,5.351456024970588
Lens,5.32130565981539
Burnley,5.307977892635249
Napoli,5.261654885627182
Celta Vigo,5.198516789474481
Liverpool,5.149692897768426
Freiburg,5.127688103094574
Mainz 05,5.082060719228453
Nott'ham Forest,5.0735320427777
Rayo Vallecano,5.023665069878944
Marseille,5.012067976494596
3 Teams,5.001309612165741
Mallorca,4.990749950785074
Valencia,4.949104495945263
Eint Frankfurt,4.943873846715958
Chelsea,4.911765974094795
Wolves,4.898606705990306
Heidenheim,4.889657451850951
Osasuna,4.849045095104999
Fiorentina,4.812002311495688
Le Havre,4.810064695338703
Genoa,4.7732887471866885
Lorient,4.759835295012276
Bournemouth,4.746461011047916
Nice,4.7257606223353
Strasbourg,4.671105371939445
Juventus,4.645294256072094
Clermont Foot,4.590738252634418
Sassuolo,4.5489227147043305
Getafe,4.531507636819134
Metz,4.521750227718379
Augsburg,4.5209121863993165
Almería,4.5147226924723025
Cagliari,4.441271074507321
Empoli,4.433255102612827
Crystal Palace,4.420985381266301
Nantes,4.377998370317398
Köln,4.3748175256289565
Toulouse,4.345049221516214
Lecce,4.31794600824284
Union Berlin,4.27387444680694
Monza,4.25609348872707
Sevilla,4.253346940680093
Brentford,4.133896394483382
Udinese,4.105961915481908
Salernitana,4.099751952843428
Fulham,3.9795423613132876
Torino,3.9662814088220264
Brighton,3.965408965828154
Hellas Verona,3.8602006184539346
Alavés,3.8601729585893514
Cádiz,3.825190056463831
Luton Town,3.798488143721185
Darmstadt 98,3.7416699978373673
Granada,3.7304156249668914
Frosinone,3.567157993068686
Sheffield Utd,3.3698804010676935
